date,mean_evi_FS,mean_ndvi_FS
2008-01-01,0.166770149486686,0.246942659298704
2008-01-17,0.157134580672095,0.227485128976204
2008-02-02,0.152560311594306,0.23186324442557
2008-02-18,0.146690081859074,0.211955620828401
2008-03-05,0.147059705868456,0.208509723487734
2008-03-21,0.132085299010673,0.185432991221371
2008-04-06,0.135522561163185,0.19002354455162
2008-04-22,0.128307735866141,0.177700341136773
2008-05-08,0.133781675377812,0.186431676511473
2008-05-24,0.138762690848111,0.190590754960937
2008-06-09,0.144338105932468,0.202041036788971
2008-06-25,0.222945579637758,0.321288110840122
2008-07-11,0.331603467480249,0.423962904590681
2008-07-27,0.405350775723747,0.601271054513572
2008-08-12,0.452727716481275,0.52292326466178
2008-08-28,0.43163969560261,0.621275997098416
2008-09-13,0.392210554439042,0.608190011469719
2008-09-29,0.306148605385312,0.496887638023185
2008-10-15,0.228135561924859,0.400067144905672
2008-10-31,0.172668183148654,0.319975891572893
2008-11-16,0.161821539771521,0.28110884721926
2008-12-02,0.160348831898021,0.271741395771755
2008-12-18,0.153001841723129,0.261212297599521
2009-01-01,0.152998590691607,0.255641804123627
2009-01-17,0.153242533118615,0.242748305967251
2009-02-02,0.1458856075419,0.233057734542317
2009-02-18,0.142132139586244,0.21559171829455
2009-03-06,0.137854842259533,0.207112413320674
2009-03-22,0.137325595950769,0.20947584641663
2009-04-07,0.1382672339748289,0.203427612418542
2009-04-23,0.130128069920092,0.188372751289045
2009-05-09,0.133852266465543,0.190458836709128
2009-05-25,0.130557014163151,0.187582273453281
2009-06-10,0.128921584240274,0.182693526358925
2009-06-26,0.169832231288419,0.251269450040016
2009-07-12,0.319911088693073,0.409454685068342
2009-07-28,0.420174197576716,0.556350921198008
2009-08-13,0.460021438561225,0.662242815173386
2009-08-29,0.477771690665409,0.656127334020744
2009-09-14,0.456454230741043,0.649206107636909
2009-09-30,0.34714325915877,0.541495161009797
2009-10-16,0.256742566909016,0.46769240805756
2009-11-01,0.228179209995054,0.393997300029945
2009-11-17,0.199214169587732,0.345127057436807
2009-12-03,0.182048877668655,0.320363061884269
2009-12-19,0.187885478860447,0.30847112529788
2010-01-01,0.165693513266974,0.274249789336599
2010-01-17,0.153963857392221,0.252794483958408
2010-02-02,0.154527121316755,0.246385990529033
2010-02-18,0.152137123889799,0.235602550955849
2010-03-06,0.145809801147147,0.218789891886808
2010-03-22,0.129305889564485,0.187626996848131
2010-04-07,0.139565745719773,0.205205343549639
2010-04-23,0.136753367783939,0.199541681600512
2010-05-09,0.133407746398214,0.192998313990645
2010-05-25,0.130074753231335,0.191008612105359
2010-06-10,0.148461935010966,0.210411037129799
2010-06-26,0.215956909500676,0.296728163611659
2010-07-12,0.461438786479919,0.564127497355647
2010-07-28,0.461669113013678,0.551976581131113
2010-08-13,0.476123845110653,0.697301941543772
2010-08-29,0.50920765785566,0.585466115468676
2010-09-14,0.460241048330366,0.653094407088905
2010-09-30,0.34996454008997,0.574010296139952
2010-10-16,0.272586039898125,0.487743346063003
2010-11-01,0.211760598037436,0.383261002659202
2010-11-17,0.186082925125298,0.33769015504235
2010-12-03,0.183067001815759,0.313205070929856
2010-12-19,0.175540462630084,0.309377091892774
2011-01-01,0.171501718234573,0.284455631155688
2011-01-17,0.159646944813839,0.265533534471548
2011-02-02,0.156128218012741,0.249932952238072
2011-02-18,0.154725739947611,0.239473820411479
2011-03-06,0.151517994119885,0.226495209135517
2011-03-22,0.146414911352858,0.214428432135635
2011-04-07,0.146309154126795,0.212934408355677
2011-04-23,0.145569536183595,0.211807208794396
2011-05-09,0.147336814085945,0.208025092971142
2011-05-25,0.154699389256788,0.217232876129217
2011-06-10,0.153595800569931,0.219120446176645
2011-06-26,0.201552064995763,0.279442409469156
2011-07-12,0.266598844675474,0.388015873764914
2011-07-28,0.309493894645041,0.400302708936946
2011-08-13,0.345274133623628,0.415880946119526
2011-08-29,0.44639105750936,0.647406915710215
2011-09-14,0.408397026839671,0.616233970177553
2011-09-30,0.33761643922021,0.519327902123688
2011-10-16,0.232608815111067,0.372842298940902
2011-11-01,0.20787199766071,0.329265124766298
2011-11-17,0.192009236291593,0.299348588241435
2011-12-03,0.184933807881238,0.278912866375348
2011-12-19,0.17782617283044,0.267325403184577
2012-01-01,0.170585280184592,0.255336022922472
2012-01-17,0.160788850732878,0.228734942097734
2012-02-02,0.150720491201257,0.216557522116256
2012-02-18,0.150527485229133,0.215204129801363
2012-03-05,0.142382819204825,0.201754053363381
2012-03-21,0.162207695610217,0.225948913214403
2012-04-06,0.149379138113656,0.209811043346646
2012-04-22,0.132614216908921,0.185542584243052
2012-05-08,0.133268533325453,0.187485385885647
2012-05-24,0.154077338240889,0.212302155213209
2012-06-09,0.15115275957135,0.208787821295879
2012-06-25,0.22616169033043,0.290797582479664
2012-07-11,0.229891364212104,0.303897359784831
2012-07-27,0.353835483226868,0.537047128057283
2012-08-12,0.444413637995974,0.551379403829079
2012-08-28,0.480057414674483,0.693523791821292
2012-09-13,0.473290891073351,0.656573641848951
2012-09-29,0.393824629881743,0.61496755818714
2012-10-15,0.328165545625013,0.541042725899437
2012-10-31,0.247383758826645,0.414001118023432
2012-11-16,0.228818780807227,0.368295535571273
2012-12-02,0.204828814654677,0.330730068395574
2012-12-18,0.197493830823604,0.323472287424367
2013-01-01,0.18427742900688,0.287357599980458
2013-01-17,0.181039802400756,0.283901488196548
2013-02-02,0.166065036238376,0.255482404007102
2013-02-18,0.163132678769871,0.245975485049505
2013-03-06,0.161946692409783,0.23927629909098
