date,mean_evi_FN,mean_ndvi_FN
2008-01-01,0.141726403720426,0.19418712681131
2008-01-17,0.135058996427025,0.184021174965162
2008-02-02,0.133832321741355,0.191786422038713
2008-02-18,0.122115136485159,0.170525135381111
2008-03-05,0.12198124237584,0.170040435791157
2008-03-21,0.119479378431174,0.166278001098633
2008-04-06,0.11543814998837,0.157829571465391
2008-04-22,0.10875860792234,0.148179683909974
2008-05-08,0.114527079045322,0.156723573241534
2008-05-24,0.113790978330708,0.154541373747771
2008-06-09,0.109650355044905,0.153195820456812
2008-06-25,0.134767187044713,0.184338781170719
2008-07-11,0.197700449836336,0.262582192223678
2008-07-27,0.244164867134414,0.324771970952155
2008-08-12,0.340389089018096,0.363042769158842
2008-08-28,0.329543009883638,0.439060792833396
2008-09-13,0.276270245332404,0.381974728072824
2008-09-29,0.216442988460098,0.309084952960055
2008-10-15,0.183626788938106,0.265887495864656
2008-10-31,0.169007128199585,0.249368633056327
2008-11-16,0.159190630043499,0.232028466200207
2008-12-02,0.153510242173012,0.224443600287789
2008-12-18,0.146400306310219,0.210245628350692
2009-01-01,0.143392389403391,0.203247282913121
2009-01-17,0.140498785683584,0.194119392248197
2009-02-02,0.137514935417114,0.194040545983173
2009-02-18,0.129235771492035,0.17900849418229
2009-03-06,0.133807396979938,0.18388676243711
2009-03-22,0.132621222974775,0.182174341888376
2009-04-07,0.131195410625264,0.179264602685173
2009-04-23,0.125214977568123,0.169100956924569
2009-05-09,0.1235002763211289,0.167081124411021
2009-05-25,0.123117265787825,0.168054820422203
2009-06-10,0.124441302671117,0.167303103667698
2009-06-26,0.162787034717156,0.226078102802442
2009-07-12,0.210094420231246,0.284421136584543
2009-07-28,0.281430136095552,0.351148381778314
2009-08-13,0.303801227155072,0.412267854422789
2009-08-29,0.368475348872102,0.488965418732561
2009-09-14,0.320836318082338,0.443561255160354
2009-09-30,0.239950051634985,0.352429099490108
2009-10-16,0.197563976375326,0.30607225146905
2009-11-01,0.187675994381928,0.280412026011426
2009-11-17,0.175290793639683,0.260562411470797
2009-12-03,0.165941641193987,0.254339635328034
2009-12-19,0.166467933716959,0.243929753913517
2010-01-01,0.159091278260269,0.224303323355662
2010-01-17,0.148847469576349,0.214711268318045
2010-02-02,0.142208464212537,0.204593036498714
2010-02-18,0.141037928656905,0.200227101667652
2010-03-06,0.135820468162357,0.188695776971667
2010-03-22,0.11848375745691,0.161997987695384
2010-04-07,0.13017602307555,0.179133894341344
2010-04-23,0.125914248162322,0.173333095734414
2010-05-09,0.123760503866968,0.173101407302294
2010-05-25,0.120771689023781,0.166365498800145
2010-06-10,0.12962621208802,0.180471627382764
2010-06-26,0.146258721498039,0.196800002030209
2010-07-12,0.248361783227417,0.327065269038479
2010-07-28,0.323175016207836,0.414848355076228
2010-08-13,0.383412666996785,0.527829980272164
2010-08-29,0.466971250575951,0.555151979482897
2010-09-14,0.383574168431176,0.53331278351145
2010-09-30,0.299719228961378,0.44819341672788
2010-10-16,0.230944795230207,0.370969459467455
2010-11-01,0.198884903616305,0.321478838434217
2010-11-17,0.180247248534914,0.28676837543246
2010-12-03,0.171991715335291,0.265492190984286
2010-12-19,0.168798695097586,0.264202305776177
2011-01-01,0.158074832464243,0.238766490779659
2011-01-17,0.152100162049359,0.231282006739907
2011-02-02,0.147680253857349,0.219990879836562
2011-02-18,0.14507630593202,0.212862485583097
2011-03-06,0.141541138842908,0.201502160142509
2011-03-22,0.137039482230933,0.191945673769368
2011-04-07,0.134831908178088,0.188092583588059
2011-04-23,0.133594823991503,0.187931351146709
2011-05-09,0.133307296088212,0.184206836390861
2011-05-25,0.136928757738239,0.189380753752842
2011-06-10,0.133184466212583,0.191705725885804
2011-06-26,0.17047133826165,0.236314001211552
2011-07-12,0.187991371282518,0.256778079561382
2011-07-28,0.189638582326237,0.255597380914212
2011-08-13,0.248219094252168,0.306233643040126
2011-08-29,0.37055119060164,0.49828716969706
2011-09-14,0.356407728522756,0.498208305856227
2011-09-30,0.279074573660918,0.401759952926218
2011-10-16,0.223766567057517,0.325674471647741
2011-11-01,0.210129592888931,0.299700812625037
2011-11-17,0.189268740444724,0.271075481183732
2011-12-03,0.180975631361201,0.252903166681524
2011-12-19,0.169716385276459,0.239851799993079
2012-01-01,0.161304537401382,0.226694421391364
2012-01-17,0.152995459543636,0.210376958847274
2012-02-02,0.149914047287631,0.210062738701837
2012-02-18,0.146618524285458,0.202726408592927
2012-03-05,0.139454386672856,0.189711593866912
2012-03-21,0.150688303230488,0.206356545693917
2012-04-06,0.143303091138408,0.198272387802427
2012-04-22,0.127698626379841,0.176617068026121
2012-05-08,0.124723120582241,0.172907732776528
2012-05-24,0.121698089747231,0.169517397384046
2012-06-09,0.1157935893536609,0.161942952496392
2012-06-25,0.144909449966076,0.192623957763142
2012-07-11,0.164935364348097,0.215106246876137
2012-07-27,0.226205873859046,0.296623661255936
2012-08-12,0.286058182119813,0.332850890111353
2012-08-28,0.38198924037502,0.501022233670884
2012-09-13,0.33756617429906,0.468363759587661
2012-09-29,0.299806329747339,0.439783634658258
2012-10-15,0.249465579621804,0.366542700943815
2012-10-31,0.204429057300429,0.298176927330695
2012-11-16,0.186754361691616,0.269996609898795
2012-12-02,0.177702456166335,0.256447849109444
2012-12-18,0.168739757778649,0.244661798096279
2013-01-01,0.157868389527911,0.225899476360728
2013-01-17,0.152754463182737,0.214770144189317
2013-02-02,0.1458737627760579,0.207017669064698
2013-02-18,0.144318710368626,0.203768594192325
2013-03-06,0.143723635694634,0.200624421984961
