date,mean_evi_BD,mean_ndvi_BD
2008-01-01,0.137379623271526,0.184255608497605
2008-01-17,0.133164199090286,0.179745432407037
2008-02-02,0.132586061013952,0.185580163150383
2008-02-18,0.121921252954622,0.165937494513427
2008-03-05,0.122394653232283,0.167357670311378
2008-03-21,0.1195415859530710,0.163310091068996
2008-04-06,0.115570148487006,0.155899713235079
2008-04-22,0.1094112366655940,0.147860661510101
2008-05-08,0.114285259730337,0.153444965519933
2008-05-24,0.110713990519201,0.149673003131005
2008-06-09,0.108821741788022,0.150005150714149
2008-06-25,0.147738001228993,0.193654381293303
2008-07-11,0.191612705766837,0.243777016539379
2008-07-27,0.274951496574753,0.37126660928117
2008-08-12,0.375891857274303,0.394217616534827
2008-08-28,0.338042826487716,0.462284165016632
2008-09-13,0.325949596350738,0.449073959014076
2008-09-29,0.251735615910577,0.352659987027301
2008-10-15,0.197776383510692,0.285449778586269
2008-10-31,0.173977460504798,0.254076831377676
2008-11-16,0.163611976337017,0.235936079221248
2008-12-02,0.157520049809962,0.226127474973096
2008-12-18,0.150108447047655,0.208095353237811
2009-01-01,0.145129067948981,0.201328894329403
2009-01-17,0.143889886659579,0.196352109933056
2009-02-02,0.140186319655102,0.194959602723292
2009-02-18,0.129053521648801,0.17671039246478
2009-03-06,0.138697006200235,0.189377427991768
2009-03-22,0.132501750176383,0.181310709954515
2009-04-07,0.131350602141308,0.177119986246989
2009-04-23,0.123519804174023,0.167427184956871
2009-05-09,0.119069126765051,0.161488206223645
2009-05-25,0.123851591187669,0.167093986552611
2009-06-10,0.127147803257156,0.173085043681256
2009-06-26,0.126625343418875,0.170957596831931
2009-07-12,0.163215472625655,0.217440794423365
2009-07-28,0.254441940832789,0.315817170781192
2009-08-13,0.320049344049629,0.418452421733011
2009-08-29,0.421635996313023,0.51071620888321
2009-09-14,0.372028600736746,0.480946383413155
2009-09-30,0.23857018457647,0.346195617568742
2009-10-16,0.208914305570458,0.305017234994424
2009-11-01,0.19044057983737,0.275151371562153
2009-11-17,0.17795194362891,0.250404535405063
2009-12-03,0.165964953392572,0.248044718746038
2009-12-19,0.164975684643121,0.232010029456805
2010-01-01,0.159644042149892,0.21806965217561
2010-01-17,0.148577288185741,0.208691451511693
2010-02-02,0.144737759982313,0.200000246448764
2010-02-18,0.142894809945086,0.19579494081003
2010-03-06,0.141329849562212,0.190854948157975
2010-03-22,0.12698664169666,0.171383930922817
2010-04-07,0.136998841723321,0.183223492452101
2010-04-23,0.133115545129711,0.178885024498569
2010-05-09,0.131652123100833,0.178482393869343
2010-05-25,0.127821483797132,0.172420879867607
2010-06-10,0.138433020395424,0.186189124879295
2010-06-26,0.135235254203122,0.179237412418027
2010-07-12,0.2216400306923000,0.294878295276832
2010-07-28,0.353818530150959,0.415373180652148
2010-08-13,0.369825978560909,0.490439877881062
2010-08-29,0.468889279316187,0.546448711671203
2010-09-14,0.38893807470844,0.535933818752866
2010-09-30,0.275443282970651,0.399495436958863
2010-10-16,0.220040763698552,0.327709366028436
2010-11-01,0.200752992824375,0.291255996703179
2010-11-17,0.178033785264445,0.262156552350855
2010-12-03,0.174862284723103,0.252353567979868
2010-12-19,0.172654331223238,0.252120451508443
2011-01-01,0.15961628057444,0.225784474540673
2011-01-17,0.156327967870624,0.224449876125357
2011-02-02,0.152666792329526,0.212302364997774
2011-02-18,0.147214404897763,0.205109378545953
2011-03-06,0.142836949432485,0.194179105664095
2011-03-22,0.140947498935199,0.190169623726709
2011-04-07,0.137024999105892,0.184665024596107
2011-04-23,0.137495775582065,0.184917399672919
2011-05-09,0.137649969600317,0.187218519096528
2011-05-25,0.139586253165957,0.192015240482624
2011-06-10,0.136616431922593,0.18890166921894
2011-06-26,0.160271796084781,0.212335206896664
2011-07-12,0.179045898643882,0.242759552490661
2011-07-28,0.182574097357016,0.226411155870716
2011-08-13,0.270390671036418,0.287477912273344
2011-08-29,0.367528188796661,0.473625957102309
2011-09-14,0.323001718313615,0.43969664888204
2011-09-30,0.280403557413134,0.395979830379525
2011-10-16,0.218121524275854,0.309800891669838
2011-11-01,0.192514119108233,0.27227664459032
2011-11-17,0.178842449986833,0.251523520575871
2011-12-03,0.171550333258554,0.233893640288846
2011-12-19,0.167027892277831,0.226994978200014
2012-01-01,0.15648539400915,0.216115894157083
2012-01-17,0.153756325897604,0.210729543777169
2012-02-02,0.144727840744679,0.19448333512155
2012-02-18,0.143865481241608,0.198954848505539
2012-03-05,0.134741713566712,0.181536665268607
2012-03-21,0.138996306194708,0.189554183939214
2012-04-06,0.13786339081637,0.186551782689413
2012-04-22,0.125700518582822,0.171911499858569
2012-05-08,0.120153539205837,0.162986335423921
2012-05-24,0.122082447190712,0.166703003716239
2012-06-09,0.115644358989365,0.158195490442795
2012-06-25,0.127496151432687,0.18493663568175
2012-07-11,0.149356906742877,0.193859279868908
2012-07-27,0.255865826204852,0.326726351810489
2012-08-12,0.31740055483485,0.366983621073646
2012-08-28,0.344348426044237,0.438269799459635
2012-09-13,0.297886599754852,0.405756085951445
2012-09-29,0.276099650810063,0.392585428147831
2012-10-15,0.2319312763965160,0.327228710955916
2012-10-31,0.199062299841662,0.281983564175844
2012-11-16,0.172831047829918,0.249404310902595
2012-12-02,0.172586885869512,0.244575262136301
2012-12-18,0.162970874502957,0.230103245288049
2013-01-01,0.15561249020545,0.218914926569323
2013-01-17,0.149794203577084,0.204239737099643
2013-02-02,0.143099979679357,0.196399564650534
2013-02-18,0.143017243610377,0.19444035468464
2013-03-06,0.141525884435688,0.192067497537138
