date,mean_evi_SF,mean_ndvi_SF
2008-01-01,0.131023049785271,0.178004529596218
2008-01-17,0.1272914377968139,0.173645862414505
2008-02-02,0.129432636937899,0.182316379672339
2008-02-18,0.119004802494944,0.168627263627894
2008-03-05,0.119464262605376,0.169059658024495
2008-03-21,0.116856564293667,0.164457165693381
2008-04-06,0.112565787316231,0.154477048899089
2008-04-22,0.1096091298370789,0.151701882933037
2008-05-08,0.115609472880547,0.157957899997729
2008-05-24,0.113865377127406,0.157626494876049
2008-06-09,0.114218527392124,0.160254230021133
2008-06-25,0.126647376286669,0.17649774609739
2008-07-11,0.151299037037879,0.199175115362768
2008-07-27,0.19818967347588,0.27788352000727
2008-08-12,0.212959993137767,0.251387091844851
2008-08-28,0.254984940330388,0.3478698620055
2008-09-13,0.23655751150901,0.342000176373014
2008-09-29,0.186191003612897,0.2677829636438
2008-10-15,0.146384030561931,0.217709382308163
2008-10-31,0.134142247881115,0.198030980981164
2008-11-16,0.130792597196028,0.189577066122839
2008-12-02,0.126925723215706,0.180648232111614
2008-12-18,0.12340444788566,0.180314367879296
2009-01-01,0.120570627144448,0.169915612556523
2009-01-17,0.120707726078757,0.170097017201027
2009-02-02,0.122471503010748,0.171615000613511
2009-02-18,0.112298758458497,0.15435737680929
2009-03-06,0.12236861105683,0.168802369606217
2009-03-22,0.122456228044264,0.171284983367039
2009-04-07,0.120232559362858,0.164629228816833
2009-04-23,0.115596421459247,0.159011173328183
2009-05-09,0.112676772705583,0.155625327819311
2009-05-25,0.116151164602695,0.159473674384786
2009-06-10,0.116394759662796,0.161350513281374
2009-06-26,0.112034283828308,0.154757570996841
2009-07-12,0.114971459178804,0.159109908791384
2009-07-28,0.159614012247495,0.21498773423618
2009-08-13,0.278122863527915,0.337043919425571
2009-08-29,0.369251617578223,0.476872599536457
2009-09-14,0.293076892249312,0.417177169488061
2009-09-30,0.182407212706492,0.267033288031994
2009-10-16,0.160702779999546,0.238158805085324
2009-11-01,0.14760632322934,0.219169958258539
2009-11-17,0.137754982003681,0.202365627530733
2009-12-03,0.140095417891795,0.205228135517734
2009-12-19,0.142694192528801,0.202929274761982
2010-01-01,0.13404888572792,0.189535363062101
2010-01-17,0.130392080210866,0.184063093185485
2010-02-02,0.131068604762662,0.181936046808607
2010-02-18,0.132593737917244,0.183957455315959
2010-03-06,0.130299297234657,0.176739233088686
2010-03-22,0.122817008316481,0.16886084598605
2010-04-07,0.128366851507646,0.172819965143493
2010-04-23,0.125805675225522,0.169036153604945
2010-05-09,0.126433333022791,0.169935869958418
2010-05-25,0.121834612601968,0.163603383898747
2010-06-10,0.1225985444568159,0.166267115953556
2010-06-26,0.137593963143903,0.186300984094164
2010-07-12,0.23340010993206,0.305332508850462
2010-07-28,0.316351583130724,0.415522265900158
2010-08-13,0.37231935829035,0.516120615169624
2010-08-29,0.422885168465541,0.573147796337113
2010-09-14,0.40123920541253,0.573094713126865
2010-09-30,0.281521414846963,0.4280446010816
2010-10-16,0.21770109227658,0.35737498398055
2010-11-01,0.194250503010748,0.313258820945718
2010-11-17,0.160584589652117,0.256762260673953
2010-12-03,0.154246666000136,0.24422174566566
2010-12-19,0.148468356790657,0.239843806357789
2011-01-01,0.140449821059329,0.210917430820969
2011-01-17,0.141805947328956,0.213483711445386
2011-02-02,0.142637011497648,0.204806813810811
2011-02-18,0.139884091481288,0.198927138017222
2011-03-06,0.137342081437888,0.192126915199163
2011-03-22,0.136701802358609,0.191205387307141
2011-04-07,0.135195521529687,0.185474705582949
2011-04-23,0.135102003749233,0.181895213592676
2011-05-09,0.134951792292486,0.181956901292917
2011-05-25,0.138211925560681,0.188960433206844
2011-06-10,0.14069916221682,0.189346905473881
2011-06-26,0.144281722420414,0.194413069190392
2011-07-12,0.1582882169329,0.214622917244201
2011-07-28,0.208784259492377,0.283114577359177
2011-08-13,0.258251318139472,0.310571823013476
2011-08-29,0.379980773273649,0.515558950646457
2011-09-14,0.297943177872708,0.436465422481765
2011-09-30,0.204195723215706,0.313656387329863
2011-10-16,0.166561141039333,0.257880136653865
2011-11-01,0.153381498193552,0.233255060192234
2011-11-17,0.140898000477175,0.21358367754323
2011-12-03,0.138776030925492,0.201526819332409
2011-12-19,0.131694308164239,0.194661780863006
2012-01-01,0.129683042036856,0.191581850780523
2012-01-17,0.131317493785362,0.190140787679793
2012-02-02,0.128202718830239,0.184560435774502
2012-02-18,0.130038538253539,0.184759717353269
2012-03-05,0.126721910200186,0.174393132200232
2012-03-21,0.131454041082506,0.185305195005565
2012-04-06,0.133821126360518,0.188082060055897
2012-04-22,0.131579414687905,0.185187943011657
2012-05-08,0.120385920198141,0.167469838146742
2012-05-24,0.123321174146197,0.174092952191598
2012-06-09,0.117256906314618,0.164943027926106
2012-06-25,0.120069107955191,0.168775205730647
2012-07-11,0.130977886568657,0.180167021336545
2012-07-27,0.157129796041719,0.211659682701265
2012-08-12,0.228918987729783,0.319796585493877
2012-08-28,0.33723113183667,0.437155747960644
2012-09-13,0.303381306323707,0.42592890606467
2012-09-29,0.253528205980595,0.397668290349703
2012-10-15,0.216609248835466,0.327908001931424
2012-10-31,0.166597587039015,0.252540025131223
2012-11-16,0.151444284737213,0.2290581047513
2012-12-02,0.147987936263037,0.22431487213979
2012-12-18,0.146814753800359,0.21527684557704
2013-01-01,0.138839086732259,0.202728426935401
2013-01-17,0.138504670249267,0.191974117771365
2013-02-02,0.135041720193597,0.18966476643414
2013-02-18,0.136621425731101,0.189422695948556
2013-03-06,0.138858632416097,0.191742378967939
